D_          0 ,QI_          0 ,QF_          0 ,D_          1 ,QI_          1 ,QF_          1 ,D_          2 ,QI_          2 ,QF_          2 ,D_          3 ,QI_          3 ,QF_          3 ,D_          4 ,QI_          4 ,QF_          4 ,D_          5 ,QI_          5 ,QF_          5 ,D_          6 ,QI_          6 ,QF_          6 ,D_          7 ,QI_          7 ,QF_          7
4186 , 1 ,15 ,5304 , 2 ,14 ,16e0 , 1 ,15 ,bc4e , 1 ,15 ,7620 , 2 ,14 ,7373 , 2 ,14 ,2c22 , 1 ,15 ,6c4b , 2 ,14 
da74 , 1 ,15 ,6817 , 2 ,14 ,e556 , 1 ,15 ,cf4a , 1 ,15 ,b06c , 2 ,14 ,50c6 , 2 ,14 ,bf37 , 2 ,14 ,d3c4 , 1 ,15 
dca4 , 1 ,15 ,a4cc , 1 ,15 ,d3e8 , 1 ,15 ,4464 , 2 ,14 ,5ff2 , 2 ,14 ,9db6 , 1 ,15 ,52cf , 2 ,14 ,bb6a , 1 ,15 
d30c , 1 ,15 ,6ba9 , 2 ,14 ,c0c0 , 1 ,15 ,3788 , 1 ,15 ,bc68 , 2 ,14 ,a770 , 1 ,15 ,12b6 , 1 ,15 ,9484 , 1 ,15 
cd98 , 1 ,15 ,b9a9 , 2 ,14 ,c15a , 1 ,15 ,17e0 , 1 ,15 ,4790 , 1 ,15 ,f8fe , 1 ,15 ,af9e , 1 ,15 ,3dc4 , 1 ,15 
d300 , 1 ,15 ,01c6 , 1 ,15 ,b6da , 1 ,15 ,5c10 , 2 ,14 ,4a3b , 2 ,14 ,6788 , 1 ,15 ,4426 , 1 ,15 ,59dc , 1 ,15 
6fdb , 2 ,14 ,199e , 1 ,15 ,623d , 3 ,13 ,5ff4 , 1 ,15 ,b885 , 2 ,14 ,6862 , 1 ,15 ,8ff2 , 1 ,15 ,961b , 2 ,14 
b6ae , 1 ,15 ,0d8a , 1 ,15 ,f0a0 , 1 ,15 ,4b9d , 2 ,14 ,887c , 1 ,15 ,9ab8 , 1 ,15 ,3cf2 , 1 ,15 ,ff6c , 1 ,15 
56c2 , 1 ,15 ,529c , 1 ,15 ,2924 , 1 ,15 ,011c , 1 ,15 ,f6ba , 1 ,15 ,5ed0 , 1 ,15 ,4a4a , 1 ,15 ,f5f8 , 1 ,15 
5e50 , 2 ,14 ,49ee , 2 ,14 ,9852 , 1 ,15 ,659e , 1 ,15 ,192a , 1 ,15 ,d132 , 1 ,15 ,051a , 1 ,15 ,b048 , 1 ,15 
522e , 2 ,14 ,0e5e , 1 ,15 ,4cc6 , 2 ,14 ,80d8 , 1 ,15 ,ee96 , 1 ,15 ,511b , 2 ,14 ,81b6 , 1 ,15 ,0aae , 1 ,15 
1236 , 1 ,15 ,bbce , 3 ,13 ,7c96 , 1 ,15 ,a522 , 1 ,15 ,262e , 1 ,15 ,ea5a , 1 ,15 ,a0b7 , 2 ,14 ,cbcc , 1 ,15 
3c8a , 1 ,15 ,42b8 , 1 ,15 ,45d2 , 3 ,13 ,b6e4 , 1 ,15 ,4522 , 1 ,15 ,4eca , 1 ,15 ,bd66 , 1 ,15 ,a8fa , 1 ,15 
1edc , 1 ,15 ,df7e , 1 ,15 ,d2c6 , 1 ,15 ,e030 , 1 ,15 ,b22a , 1 ,15 ,444b , 2 ,14 ,9e58 , 2 ,14 ,9218 , 1 ,15 
8c3a , 2 ,14 ,60e4 , 2 ,14 ,4612 , 1 ,15 ,4970 , 2 ,14 ,4248 , 1 ,15 ,4df0 , 1 ,15 ,79e8 , 2 ,14 ,8838 , 1 ,15 
6ac4 , 2 ,14 ,34ba , 1 ,15 ,ab68 , 1 ,15 ,08c4 , 1 ,15 ,f34c , 1 ,15 ,6b8e , 2 ,14 ,5ed6 , 1 ,15 ,9902 , 2 ,14 
fec2 , 1 ,15 ,2112 , 1 ,15 ,d730 , 1 ,15 ,396a , 1 ,15 ,b30d , 2 ,14 ,034c , 1 ,15 ,630c , 1 ,15 ,ea6e , 1 ,15 
5fe2 , 1 ,15 ,654a , 1 ,15 ,3136 , 1 ,15 ,bb2e , 1 ,15 ,2688 , 1 ,15 ,5533 , 2 ,14 ,ab34 , 1 ,15 ,10b4 , 1 ,15 
5749 , 2 ,14 ,6740 , 1 ,15 ,3ec8 , 1 ,15 ,40e0 , 1 ,15 ,4464 , 1 ,15 ,9778 , 1 ,15 ,a31a , 1 ,15 ,e8aa , 1 ,15 
90c4 , 1 ,15 ,bf00 , 1 ,15 ,159e , 1 ,15 ,d914 , 1 ,15 ,c734 , 1 ,15 ,13a4 , 1 ,15 ,bbc0 , 1 ,15 ,ac4e , 1 ,15 
8fb8 , 2 ,14 ,11f0 , 1 ,15 ,5764 , 1 ,15 ,bb9f , 3 ,13 ,e316 , 1 ,15 ,d666 , 1 ,15 ,b065 , 2 ,14 ,6662 , 1 ,15 
d4e8 , 1 ,15 ,6ae7 , 2 ,14 ,fc74 , 1 ,15 ,8884 , 1 ,15 ,c0f6 , 1 ,15 ,2dde , 1 ,15 ,44c3 , 3 ,13 ,abbb , 2 ,14 
9830 , 1 ,15 ,a818 , 1 ,15 ,7d98 , 1 ,15 ,4193 , 2 ,14 ,65ba , 1 ,15 ,febc , 1 ,15 ,faca , 1 ,15 ,f816 , 1 ,15 
82f0 , 1 ,15 ,c5ca , 1 ,15 ,178a , 1 ,15 ,01fc , 1 ,15 ,91d2 , 1 ,15 ,8d22 , 1 ,15 ,40e6 , 2 ,14 ,4aad , 2 ,14 
a132 , 1 ,15 ,4a7b , 2 ,14 ,aba0 , 1 ,15 ,6689 , 2 ,14 ,8d08 , 1 ,15 ,6584 , 1 ,15 ,86b0 , 1 ,15 ,6cc0 , 1 ,15 
fe08 , 1 ,15 ,8b0c , 1 ,15 ,92e6 , 1 ,15 ,bc3e , 1 ,15 ,bd5e , 1 ,15 ,43eb , 2 ,14 ,7884 , 1 ,15 ,ac2c , 1 ,15 
a0d9 , 2 ,14 ,3fc2 , 1 ,15 ,b4c7 , 2 ,14 ,4200 , 1 ,15 ,dc70 , 1 ,15 ,0ffa , 1 ,15 ,5d44 , 1 ,15 ,5f4a , 2 ,14 
